129 987
141 588
258 1299
147 1110
198 1293
180 1500
333 1746
357 1923
144 975
129 1005
147 1035
129 879
207 1422
258 1428
198 1464
393 2520
135 1203
162 1083
456 1827
180 834
141 1992
531 2946
159 1545
381 2034
213 990
213 1395
345 2577
630 3138
159 1884
330 1929
456 2241
225 1203
297 1689
1092 3507
441 2499
603 2688
186 1881
294 2310
744 3285
540 2976
1221 3654
168 1653
315 2211
1077 3663
423 2079
3002 3003
129 987
141 588
258 1299
147 1110
198 1293
180 1500
333 1746
357 1923
144 975
129 1005
147 1035
129 879
207 1422
258 1428
198 1464
393 2520
135 1203
162 1083
456 1827
180 834
141 1992
531 2946
159 1545
381 2034
213 990
213 1395
345 2577
630 3138
159 1884
330 1929
456 2241
225 1203
297 1689
1092 3507
441 2499
603 2688
186 1881
294 2310
744 3285
540 2976
1221 3654
168 1653
315 2211
1077 3663
423 2079
3002 3003
